SalePrice,TotalArea,LivingArea,Neighborhood,PropertyType,BuildingQuality,Bedrooms,TotalRooms,Bathrooms,Floors,ConstructionMaterial,UtilitiesLevel,OwnershipType,YearBuilt,YearRemodel,YearSold
208500,8450,1710,CollgCr,1Fam,7,3,8,2.5,2Story,VinylSd,AllPub,PConc,2003,2003,2008
181500,9600,1262,Veenker,1Fam,6,3,6,2.0,1Story,MetalSd,AllPub,CBlock,1976,1976,2007
223500,11250,1786,CollgCr,1Fam,7,3,6,2.5,2Story,VinylSd,AllPub,PConc,2001,2002,2008
140000,9550,1717,Crawfor,1Fam,7,3,7,1.0,2Story,Wd Sdng,AllPub,BrkTil,1915,1970,2006
250000,14260,2198,NoRidge,1Fam,8,4,9,2.5,2Story,VinylSd,AllPub,PConc,2000,2000,2008
143000,14115,1362,Mitchel,1Fam,5,1,5,1.5,1.5Fin,VinylSd,AllPub,Wood,1993,1995,2009
307000,10084,1694,Somerst,1Fam,8,3,7,2.0,1Story,VinylSd,AllPub,PConc,2004,2005,2007
200000,10382,2090,NWAmes,1Fam,7,3,7,2.5,2Story,HdBoard,AllPub,CBlock,1973,1973,2009
129900,6120,1774,OldTown,1Fam,7,2,8,2.0,1.5Fin,BrkFace,AllPub,BrkTil,1931,1950,2008
118000,7420,1077,BrkSide,2fmCon,5,2,5,1.0,1.5Unf,MetalSd,AllPub,BrkTil,1939,1950,2008
129500,11200,1040,Sawyer,1Fam,5,3,5,1.0,1Story,HdBoard,AllPub,CBlock,1965,1965,2008
345000,11924,2324,NridgHt,1Fam,9,4,11,3.0,2Story,WdShing,AllPub,PConc,2005,2006,2006
144000,12968,912,Sawyer,1Fam,5,2,4,1.0,1Story,HdBoard,AllPub,CBlock,1962,1962,2008
279500,10652,1494,CollgCr,1Fam,7,3,7,2.0,1Story,VinylSd,AllPub,PConc,2006,2007,2007
157000,10920,1253,NAmes,1Fam,6,2,5,1.5,1Story,MetalSd,AllPub,CBlock,1960,1960,2008
132000,6120,854,BrkSide,1Fam,7,2,5,1.0,1.5Unf,Wd Sdng,AllPub,BrkTil,1929,2001,2007
149000,11241,1004,NAmes,1Fam,6,2,5,1.0,1Story,Wd Sdng,AllPub,CBlock,1970,1970,2010
90000,10791,1296,Sawyer,Duplex,4,2,6,2.0,1Story,MetalSd,AllPub,Slab,1967,1967,2006
159000,13695,1114,SawyerW,1Fam,5,3,6,1.5,1Story,VinylSd,AllPub,PConc,2004,2004,2008
139000,7560,1339,NAmes,1Fam,5,3,6,1.0,1Story,BrkFace,AllPub,CBlock,1958,1965,2009
325300,14215,2376,NridgHt,1Fam,8,4,9,3.5,2Story,VinylSd,AllPub,PConc,2005,2006,2006
139400,7449,1108,IDOTRR,1Fam,7,3,6,1.0,1.5Unf,Wd Sdng,AllPub,PConc,1930,1950,2007
230000,9742,1795,CollgCr,1Fam,8,3,7,2.0,1Story,VinylSd,AllPub,PConc,2002,2002,2008
129900,4224,1060,MeadowV,TwnhsE,5,3,6,1.0,1Story,CemntBd,AllPub,PConc,1976,1976,2007
154000,8246,1060,Sawyer,1Fam,5,3,6,1.0,1Story,Plywood,AllPub,CBlock,1968,2001,2010
256300,14230,1600,NridgHt,1Fam,8,3,7,2.0,1Story,VinylSd,AllPub,PConc,2007,2007,2009
134800,7200,900,NAmes,1Fam,5,3,5,1.0,1Story,Wd Sdng,AllPub,CBlock,1951,2000,2010
306000,11478,1704,NridgHt,1Fam,8,3,7,2.0,1Story,VinylSd,AllPub,PConc,2007,2008,2010
207500,16321,1600,NAmes,1Fam,5,2,6,1.0,1Story,MetalSd,AllPub,CBlock,1957,1997,2006
68500,6324,520,BrkSide,1Fam,4,1,4,1.0,1Story,MetalSd,AllPub,BrkTil,1927,1950,2008
40000,8500,1317,IDOTRR,1Fam,4,3,6,1.0,2Story,BrkFace,AllPub,BrkTil,1920,1950,2008
149350,8544,1228,Sawyer,1Fam,5,3,6,1.5,1Story,HdBoard,AllPub,CBlock,1966,2006,2008
179900,11049,1234,CollgCr,1Fam,8,3,7,2.0,1Story,VinylSd,AllPub,PConc,2007,2007,2008
165500,10552,1700,NAmes,1Fam,5,4,6,1.5,1Story,BrkFace,AllPub,CBlock,1959,1959,2010
277500,7313,1561,NridgHt,TwnhsE,9,2,6,2.0,1Story,MetalSd,AllPub,PConc,2005,2005,2007
309000,13418,2452,NridgHt,1Fam,8,4,9,3.5,2Story,VinylSd,AllPub,PConc,2004,2005,2006
145000,10859,1097,CollgCr,1Fam,5,3,6,1.5,1Story,VinylSd,AllPub,PConc,1994,1995,2009
153000,8532,1297,NAmes,1Fam,5,3,5,1.0,1Story,Wd Sdng,AllPub,CBlock,1954,1990,2009
109000,7922,1057,NAmes,1Fam,5,3,5,1.0,1Story,VinylSd,AllPub,CBlock,1953,2007,2010
82000,6040,1152,Edwards,Duplex,4,2,6,2.0,1Story,AsbShng,AllPub,PConc,1955,1955,2008
160000,8658,1324,NAmes,1Fam,6,3,6,2.0,1Story,Wd Sdng,AllPub,CBlock,1965,1965,2006
170000,16905,1328,Timber,1Fam,5,2,5,1.5,1Story,VinylSd,AllPub,CBlock,1959,1959,2007
144000,9180,884,SawyerW,1Fam,5,2,5,1.0,SFoyer,HdBoard,AllPub,CBlock,1983,1983,2007
130250,9200,938,CollgCr,1Fam,5,3,5,1.0,1Story,VinylSd,AllPub,CBlock,1975,1980,2008
141000,7945,1150,NAmes,1Fam,5,3,6,1.0,1Story,BrkFace,AllPub,CBlock,1959,1959,2006
319900,7658,1752,NridgHt,TwnhsE,9,2,6,2.0,1Story,MetalSd,AllPub,PConc,2005,2005,2010
239686,12822,2149,Mitchel,1Fam,7,1,6,1.5,1.5Fin,VinylSd,AllPub,PConc,2003,2003,2009
249700,11096,1656,Somerst,1Fam,8,3,7,2.0,1Story,VinylSd,AllPub,PConc,2006,2006,2007
113000,4456,1452,OldTown,2fmCon,4,2,8,2.0,2Story,MetalSd,AllPub,BrkTil,1920,2008,2009
127000,7742,955,Sawyer,1Fam,5,3,6,1.0,1Story,HdBoard,AllPub,CBlock,1966,1966,2007
177000,13869,1470,Gilbert,1Fam,6,3,6,2.0,2Story,VinylSd,AllPub,PConc,1997,1997,2007
114500,6240,1176,BrkSide,1Fam,6,3,6,1.0,1.5Fin,Wd Sdng,AllPub,PConc,1934,1950,2006
110000,8472,816,IDOTRR,Duplex,5,2,5,1.0,1Story,Wd Sdng,AllPub,CBlock,1963,1963,2010
385000,50271,1842,Veenker,1Fam,9,0,5,0.5,1Story,WdShing,AllPub,CBlock,1981,1987,2006
130000,7134,1360,NAmes,1Fam,5,3,6,1.0,SLvl,MetalSd,AllPub,CBlock,1955,1955,2007
180500,10175,1425,NAmes,1Fam,6,3,7,2.0,1Story,HdBoard,AllPub,CBlock,1964,1964,2008
172500,2645,1739,Somerst,Twnhs,8,3,7,2.5,2Story,MetalSd,AllPub,PConc,1999,2000,2009
196500,11645,1720,CollgCr,1Fam,7,3,7,2.5,2Story,VinylSd,AllPub,PConc,2004,2004,2006
438780,13682,2945,StoneBr,1Fam,10,3,10,3.5,2Story,VinylSd,AllPub,PConc,2006,2006,2006
124900,7200,780,CollgCr,1Fam,5,2,4,1.0,1Story,HdBoard,AllPub,CBlock,1972,1972,2008
158000,13072,1158,SawyerW,1Fam,6,3,5,1.5,1Story,VinylSd,AllPub,PConc,2004,2004,2006
101000,7200,1111,IDOTRR,1Fam,5,3,6,1.0,2.5Unf,MetalSd,AllPub,BrkTil,1920,1996,2007
202500,6442,1370,NridgHt,TwnhsE,8,2,6,2.0,1Story,VinylSd,AllPub,PConc,2006,2006,2007
140000,10300,1710,OldTown,1Fam,7,3,9,2.0,2Story,Stucco,AllPub,BrkTil,1921,1950,2010
219500,9375,2034,CollgCr,1Fam,7,3,8,2.5,2Story,VinylSd,AllPub,PConc,1997,1998,2009
317000,9591,2473,NridgHt,1Fam,8,4,9,2.5,2Story,VinylSd,AllPub,PConc,2004,2005,2007
180000,19900,2207,NAmes,1Fam,7,3,7,2.0,1Story,Plywood,AllPub,CBlock,1970,1989,2010
226000,10665,1479,CollgCr,1Fam,7,3,7,2.0,1Story,VinylSd,AllPub,PConc,2003,2003,2007
80000,4608,747,OldTown,1Fam,4,2,4,1.0,1Story,MetalSd,AllPub,CBlock,1945,1950,2010
225000,15593,2287,ClearCr,1Fam,7,3,7,2.0,1.5Fin,BrkFace,AllPub,CBlock,1953,1953,2006
244000,13651,2223,NAmes,1Fam,7,3,8,2.0,1Story,Plywood,AllPub,CBlock,1973,1973,2007
